PassengerID	Gender	Age	Siblings Onboard	Embarked	Class
307	Female	29	0	C	1st
308	Female	17	1	C	1st
309	Male	30	1	C	2nd
310	Female	30	0	C	1st
311	Female	24	0	C	1st
312	Female	18	2	C	1st
313	Female	26	1	S	2nd
314	Male	28	0	S	3rd
315	Male	43	1	S	2nd
316	Female	26	0	S	3rd
317	Female	24	1	S	2nd
318	Male	54	0	S	2nd
319	Female	31	0	S	1st
320	Female	40	1	C	1st
321	Male	22	0	S	3rd
322	Male	27	0	S	3rd
323	Female	30	0	Q	2nd
324	Female	22	1	S	2nd
325	Male	29	8	S	3rd
326	Female	36	0	C	1st
327	Male	61	0	S	3rd
328	Female	36	0	S	2nd
329	Female	31	1	S	3rd
330	Female	16	0	C	1st
331	Female	29	2	Q	3rd
332	Male	45.5	0	S	1st
333	Male	38	0	S	1st
334	Male	16	2	S	3rd
335	Female	29	1	S	1st
336	Male	29	0	S	3rd
337	Male	29	1	S	1st
338	Female	41	0	C	1st
339	Male	45	0	S	3rd
340	Male	45	0	S	1st
341	Male	2	1	S	2nd
342	Female	24	3	S	1st
343	Male	28	0	S	2nd
344	Male	25	0	S	2nd
345	Male	36	0	S	2nd
346	Female	24	0	S	2nd
347	Female	40	0	S	2nd
348	Female	29	1	S	3rd
349	Male	3	1	S	3rd
350	Male	42	0	S	3rd
351	Male	23	0	S	3rd
352	Male	29	0	S	1st
353	Male	15	1	C	3rd
354	Male	25	1	S	3rd
355	Male	29	0	C	3rd
356	Male	28	0	S	3rd
357	Female	22	0	S	1st
358	Female	38	0	S	2nd
359	Female	29	0	Q	3rd
360	Female	29	0	Q	3rd
361	Male	40	1	S	3rd
362	Male	29	1	C	2nd
363	Female	45	0	C	3rd
364	Male	35	0	S	3rd
365	Male	29	1	Q	3rd
366	Male	30	0	S	3rd
367	Female	60	1	C	1st
368	Female	29	0	C	3rd
369	Female	29	0	Q	3rd
370	Female	24	0	C	1st
371	Male	25	1	C	1st
372	Male	18	1	S	3rd
373	Male	19	0	S	3rd
374	Male	22	0	C	1st
375	Female	3	3	S	3rd
376	Female	29	1	C	1st
377	Female	22	0	S	3rd
378	Male	27	0	C	1st
379	Male	20	0	C	3rd
380	Male	19	0	S	3rd
381	Female	42	0	C	1st
382	Female	1	0	C	3rd
383	Male	32	0	S	3rd
384	Female	35	1	S	1st
385	Male	29	0	S	3rd
386	Male	18	0	S	2nd
387	Male	1	5	S	3rd
388	Female	36	0	S	2nd
389	Male	29	0	Q	3rd
390	Female	17	0	C	2nd
391	Male	36	1	S	1st
392	Male	21	0	S	3rd
393	Male	28	2	S	3rd
394	Female	23	1	C	1st
395	Female	24	0	S	3rd
396	Male	22	0	S	3rd
397	Female	31	0	S	3rd
398	Male	46	0	S	2nd
399	Male	23	0	S	2nd
400	Female	28	0	S	2nd
401	Male	39	0	S	3rd
402	Male	26	0	S	3rd
403	Female	21	1	S	3rd
404	Male	28	1	S	3rd
405	Female	20	0	S	3rd
406	Male	34	1	S	2nd
407	Male	51	0	S	3rd
408	Male	3	1	S	2nd
409	Male	21	0	S	3rd
410	Female	29	3	S	3rd
411	Male	29	0	S	3rd
412	Male	29	0	Q	3rd
413	Female	33	1	Q	1st
414	Male	29	0	S	2nd
415	Male	44	0	S	3rd
416	Female	29	0	S	3rd
417	Female	34	1	S	2nd
418	Female	18	0	S	2nd
419	Male	30	0	S	2nd
420	Female	10	0	S	3rd
421	Male	29	0	C	3rd
422	Male	21	0	Q	3rd
423	Male	29	0	S	3rd
424	Female	28	1	S	3rd
425	Male	18	1	S	3rd
426	Male	29	0	S	3rd
427	Female	28	1	S	2nd
428	Female	19	0	S	2nd
429	Male	29	0	Q	3rd
430	Male	32	0	S	3rd
431	Male	28	0	S	1st
432	Female	29	1	S	3rd
433	Female	42	1	S	2nd
434	Male	17	0	S	3rd
435	Male	50	1	S	1st
436	Female	14	1	S	1st
437	Female	21	2	S	3rd
438	Female	24	2	S	2nd
439	Male	64	1	S	1st
440	Male	31	0	S	2nd
441	Female	45	1	S	2nd
442	Male	20	0	S	3rd
443	Male	25	1	S	3rd
444	Female	28	0	S	2nd
445	Male	29	0	S	3rd
446	Male	4	0	S	1st
447	Female	13	0	S	2nd
448	Male	34	0	S	1st
449	Female	5	2	C	3rd
450	Male	52	0	S	1st
451	Male	36	1	S	2nd
452	Male	29	1	S	3rd
453	Male	30	0	C	1st
454	Male	49	1	C	1st
455	Male	29	0	S	3rd
456	Male	29	0	C	3rd
457	Male	65	0	S	1st
458	Female	29	1	S	1st
459	Female	50	0	S	2nd
460	Male	29	0	Q	3rd
461	Male	48	0	S	1st
462	Male	34	0	S	3rd
463	Male	47	0	S	1st
464	Male	48	0	S	2nd
465	Male	29	0	S	3rd
466	Male	38	0	S	3rd
467	Male	29	0	S	2nd
468	Male	56	0	S	1st
469	Male	29	0	Q	3rd
470	Female	0.75	2	C	3rd
471	Male	29	0	S	3rd
472	Male	38	0	S	3rd
473	Female	33	1	S	2nd
474	Female	23	0	C	2nd
475	Female	22	0	S	3rd
476	Male	29	0	S	1st
477	Male	34	1	S	2nd
478	Male	29	1	S	3rd
479	Male	22	0	S	3rd
480	Female	2	0	S	3rd
481	Male	9	5	S	3rd
482	Male	29	0	S	2nd
483	Male	50	0	S	3rd
484	Female	63	0	S	3rd
485	Male	25	1	C	1st
486	Female	29	3	S	3rd
487	Female	35	1	S	1st
488	Male	58	0	C	1st
489	Male	30	0	S	3rd
490	Male	9	1	S	3rd
491	Male	29	1	S	3rd
492	Male	21	0	S	3rd
493	Male	55	0	S	1st
494	Male	71	0	C	1st
495	Male	21	0	S	3rd
496	Male	29	0	C	3rd
497	Female	54	1	C	1st
498	Male	29	0	S	3rd
499	Female	25	1	S	1st
500	Male	24	0	S	3rd
501	Male	17	0	S	3rd
502	Female	21	0	Q	3rd
503	Female	29	0	Q	3rd
504	Female	37	0	S	3rd
505	Female	16	0	S	1st
506	Male	18	1	C	1st
507	Female	33	0	S	2nd
508	Male	29	0	S	1st
509	Male	28	0	S	3rd
510	Male	26	0	S	3rd
511	Male	29	0	Q	3rd
512	Male	29	0	S	3rd
513	Male	36	0	S	1st
514	Female	54	1	C	1st
515	Male	24	0	S	3rd
516	Male	47	0	S	1st
517	Female	34	0	S	2nd
518	Male	29	0	Q	3rd
519	Female	36	1	S	2nd
520	Male	32	0	S	3rd
521	Female	30	0	S	1st
522	Male	22	0	S	3rd
523	Male	29	0	C	3rd
524	Female	44	0	C	1st
525	Male	29	0	C	3rd
526	Male	40.5	0	Q	3rd
527	Female	50	0	S	2nd
528	Male	29	0	S	1st
529	Male	39	0	S	3rd
530	Male	23	2	S	2nd
531	Female	2	1	S	2nd
532	Male	29	0	C	3rd
533	Male	17	1	C	3rd
534	Female	29	0	C	3rd
535	Female	30	0	S	3rd
536	Female	7	0	S	2nd
537	Male	45	0	S	1st
538	Female	30	0	C	1st
539	Male	29	0	S	3rd
540	Female	22	0	C	1st
541	Female	36	0	S	1st
542	Female	9	4	S	3rd
543	Female	11	4	S	3rd
544	Male	32	1	S	2nd
545	Male	50	1	C	1st
546	Male	64	0	S	1st
547	Female	19	1	S	2nd
548	Male	29	0	C	2nd
549	Male	33	1	S	3rd
550	Male	8	1	S	2nd
551	Male	17	0	C	1st
552	Male	27	0	S	2nd
553	Male	29	0	Q	3rd
554	Male	22	0	C	3rd
555	Female	22	0	S	3rd
556	Male	62	0	S	1st
557	Female	48	1	C	1st
558	Male	29	0	C	1st
559	Female	39	1	S	1st
560	Female	36	1	S	3rd
561	Male	29	0	Q	3rd
562	Male	40	0	S	3rd
563	Male	28	0	S	2nd
564	Male	29	0	S	3rd
565	Female	29	0	S	3rd
566	Male	24	2	S	3rd
567	Male	19	0	S	3rd
568	Female	29	0	S	3rd
569	Male	29	0	C	3rd
570	Male	32	0	S	3rd
571	Male	62	0	S	2nd
572	Female	53	2	S	1st
573	Male	36	0	S	1st
574	Female	29	0	Q	3rd
575	Male	16	0	S	3rd
576	Male	19	0	S	3rd
577	Female	34	0	S	2nd
578	Female	39	1	S	1st
579	Female	29	1	C	3rd
580	Male	32	0	S	3rd
581	Female	25	1	S	2nd
582	Female	39	1	C	1st
583	Male	54	0	S	2nd
584	Male	36	0	C	1st
585	Male	29	0	C	3rd
586	Female	18	0	S	1st
587	Male	47	0	S	2nd
588	Male	60	1	C	1st
589	Male	22	0	S	3rd
590	Male	29	0	S	3rd
591	Male	35	0	S	3rd
592	Female	52	1	C	1st
593	Male	47	0	S	3rd
594	Female	29	0	Q	3rd
595	Male	37	1	S	2nd
596	Male	36	1	S	3rd
597	Female	29	0	S	2nd
598	Male	49	0	S	3rd
599	Male	29	0	C	3rd
600	Male	49	1	C	1st
601	Female	24	2	S	2nd
602	Male	29	0	S	3rd
603	Male	29	0	S	1st
604	Male	44	0	S	3rd
605	Male	35	0	C	1st
606	Male	36	1	S	3rd
607	Male	30	0	S	3rd
608	Male	27	0	S	1st
609	Female	22	1	C	2nd
610	Female	40	0	S	1st
611	Female	39	1	S	3rd
612	Male	29	0	S	3rd
613	Female	29	1	Q	3rd
614	Male	29	0	Q	3rd
615	Male	35	0	S	3rd
616	Female	24	1	S	2nd
617	Male	34	1	S	3rd
618	Female	26	1	S	3rd
619	Female	4	2	S	2nd
620	Male	26	0	S	2nd
621	Male	27	1	C	3rd
622	Male	42	1	S	1st
623	Male	20	1	C	3rd
624	Male	21	0	S	3rd
625	Male	21	0	S	3rd
626	Male	61	0	S	1st
627	Male	57	0	Q	2nd
628	Female	21	0	S	1st
629	Male	26	0	S	3rd
630	Male	29	0	Q	3rd
631	Male	80	0	S	1st
632	Male	51	0	S	3rd
633	Male	32	0	C	1st
634	Male	29	0	S	1st
635	Female	9	3	S	3rd
636	Female	28	0	S	2nd
637	Male	32	0	S	3rd
638	Male	31	1	S	2nd
639	Female	41	0	S	3rd
640	Male	29	1	S	3rd
641	Male	20	0	S	3rd
642	Female	24	0	C	1st
643	Female	2	3	S	3rd
644	Male	29	0	S	3rd
645	Female	0.75	2	C	3rd
646	Male	48	1	C	1st
647	Male	19	0	S	3rd
648	Male	56	0	C	1st
649	Male	29	0	S	3rd
650	Female	23	0	S	3rd
651	Male	29	0	S	3rd
652	Female	18	0	S	2nd
653	Male	21	0	S	3rd
654	Female	29	0	Q	3rd
655	Female	18	0	Q	3rd
656	Male	24	2	S	2nd
657	Male	29	0	S	3rd
658	Female	32	1	Q	3rd
659	Male	23	0	S	2nd
660	Male	58	0	C	1st
661	Male	50	2	S	1st
662	Male	40	0	C	3rd
663	Male	47	0	S	1st
664	Male	36	0	S	3rd
665	Male	20	1	S	3rd
666	Male	32	2	S	2nd
667	Male	25	0	S	2nd
668	Male	29	0	S	3rd
669	Male	43	0	S	3rd
670	Female	29	1	S	1st
671	Female	40	1	S	2nd
672	Male	31	1	S	1st
673	Male	70	0	S	2nd
674	Male	31	0	S	2nd
675	Male	29	0	S	2nd
676	Male	18	0	S	3rd
677	Male	24.5	0	S	3rd
678	Female	18	0	S	3rd
679	Female	43	1	S	3rd
680	Male	36	0	C	1st
681	Female	29	0	Q	3rd
682	Male	27	0	C	1st
683	Male	20	0	S	3rd
684	Male	14	5	S	3rd
685	Male	60	1	S	2nd
686	Male	25	1	C	2nd
687	Male	14	4	S	3rd
688	Male	19	0	S	3rd
689	Male	18	0	S	3rd
690	Female	15	0	S	1st
691	Male	31	1	S	1st
692	Female	4	0	C	3rd
693	Male	29	0	S	3rd
694	Male	25	0	C	3rd
695	Male	60	0	S	1st
696	Male	52	0	S	2nd
697	Male	44	0	S	3rd
698	Female	29	0	Q	3rd
699	Male	49	1	C	1st
700	Male	42	0	S	3rd
701	Female	18	1	C	1st
702	Male	35	0	S	1st
703	Female	18	0	C	3rd
704	Male	25	0	Q	3rd
705	Male	26	1	S	3rd
706	Male	39	0	S	2nd
707	Female	45	0	S	2nd
708	Male	42	0	S	1st
709	Female	22	0	S	1st
710	Male	29	1	C	3rd
711	Female	24	0	C	1st
712	Male	29	0	S	1st
713	Male	48	1	S	1st
714	Male	29	0	S	3rd
715	Male	52	0	S	2nd
716	Male	19	0	S	3rd
717	Female	38	0	C	1st
718	Female	27	0	S	2nd
719	Male	29	0	Q	3rd
720	Male	33	0	S	3rd
721	Female	6	0	S	2nd
722	Male	17	1	S	3rd
723	Male	34	0	S	2nd
724	Male	50	0	S	2nd
725	Male	27	1	S	1st
726	Male	20	0	S	3rd
727	Female	30	3	S	2nd
728	Female	29	0	Q	3rd
729	Male	25	1	S	2nd
730	Female	25	1	S	3rd
731	Female	29	0	S	1st
732	Male	11	0	C	3rd
733	Male	29	0	S	2nd
734	Male	23	0	S	2nd
735	Male	23	0	S	2nd
736	Male	28.5	0	S	3rd
737	Female	48	1	S	3rd
738	Male	35	0	C	1st
739	Male	29	0	S	3rd
740	Male	29	0	S	3rd
741	Male	29	0	S	1st
742	Male	36	1	S	1st
743	Female	21	2	C	1st
744	Male	24	1	S	3rd
745	Male	31	0	S	3rd
746	Male	70	1	S	1st
747	Male	16	1	S	3rd
748	Female	30	0	S	2nd
749	Male	19	1	S	1st
750	Male	31	0	Q	3rd
751	Female	4	1	S	2nd
752	Male	6	0	S	3rd
753	Male	33	0	S	3rd
754	Male	23	0	S	3rd
755	Female	48	1	S	2nd
756	Male	0.67	1	S	2nd
757	Male	28	0	S	3rd
758	Male	18	0	S	2nd
759	Male	34	0	S	3rd
760	Female	33	0	S	1st
761	Male	29	0	S	3rd
762	Male	41	0	S	3rd
763	Male	20	0	C	3rd
764	Female	36	1	S	1st
765	Male	16	0	S	3rd
766	Female	51	1	S	1st
767	Male	29	0	C	1st
768	Female	30.5	0	Q	3rd
769	Male	29	1	Q	3rd
770	Male	32	0	S	3rd
771	Male	24	0	S	3rd
772	Male	48	0	S	3rd
773	Female	57	0	S	2nd
774	Male	29	0	C	3rd
775	Female	54	1	S	2nd
776	Male	18	0	S	3rd
777	Male	29	0	Q	3rd
778	Female	5	0	S	3rd
779	Male	29	0	Q	3rd
780	Female	43	0	S	1st
781	Female	13	0	C	3rd
782	Female	17	1	S	1st
783	Male	29	0	S	1st
784	Male	29	1	S	3rd
785	Male	25	0	S	3rd
786	Male	25	0	S	3rd
787	Female	18	0	S	3rd
788	Male	8	4	Q	3rd
789	Male	1	1	S	3rd
790	Male	46	0	C	1st
791	Male	29	0	Q	3rd
792	Male	16	0	S	2nd
793	Female	29	8	S	3rd
794	Male	29	0	C	1st
795	Male	25	0	S	3rd
796	Male	39	0	S	2nd
797	Female	49	0	S	1st
798	Female	31	0	S	3rd
799	Male	30	0	C	3rd
800	Female	30	1	S	3rd
801	Male	34	0	S	2nd
802	Female	31	1	S	2nd
803	Male	11	1	S	1st
804	Male	0.42	0	C	3rd
805	Male	27	0	S	3rd
806	Male	31	0	S	3rd
807	Male	39	0	S	1st
808	Female	18	0	S	3rd
809	Male	39	0	S	2nd
810	Female	33	1	S	1st
811	Male	26	0	S	3rd
812	Male	39	0	S	3rd
813	Male	35	0	S	2nd
814	Female	6	4	S	3rd
815	Male	30.5	0	S	3rd
816	Male	29	0	S	1st
817	Female	23	0	S	3rd
818	Male	31	1	C	2nd
819	Male	43	0	S	3rd
820	Male	10	3	S	3rd
821	Female	52	1	S	1st
822	Male	27	0	S	3rd
823	Male	38	0	S	1st
824	Female	27	0	S	3rd
825	Male	2	4	S	3rd
826	Male	29	0	Q	3rd
827	Male	29	0	S	3rd
828	Male	1	0	C	2nd
829	Male	29	0	Q	3rd
830	Female	62	0	Q	1st
831	Female	15	1	C	3rd
832	Male	0.83	1	S	2nd
833	Male	29	0	C	3rd
834	Male	23	0	S	3rd
835	Male	18	0	S	3rd
836	Female	39	1	C	1st
837	Male	21	0	S	3rd
838	Male	29	0	S	3rd
839	Male	32	0	S	3rd
840	Male	29	0	C	1st
841	Male	20	0	S	3rd
842	Male	16	0	S	2nd
843	Female	30	0	C	1st
844	Male	34.5	0	C	3rd
845	Male	17	0	S	3rd
846	Male	42	0	S	3rd
847	Male	29	8	S	3rd
848	Male	35	0	C	3rd
849	Male	28	0	S	2nd
850	Female	29	1	C	1st
851	Male	4	4	S	3rd
852	Male	74	0	S	3rd
853	Female	9	1	C	3rd
854	Female	16	0	S	1st
855	Female	44	1	S	2nd
856	Female	18	0	S	3rd
857	Female	45	1	S	1st
858	Male	51	0	S	1st
859	Female	24	0	C	3rd
860	Male	29	0	C	3rd
861	Male	41	2	S	3rd
862	Male	21	1	S	2nd
863	Female	48	0	S	1st
864	Female	29	8	S	3rd
865	Male	24	0	S	2nd
866	Female	42	0	S	2nd
867	Female	27	1	C	2nd
868	Male	31	0	S	1st
869	Male	29	0	S	3rd
870	Male	4	1	S	3rd
871	Male	26	0	S	3rd
872	Female	47	1	S	1st
873	Male	33	0	S	1st
874	Male	47	0	S	3rd
875	Female	28	1	C	2nd
876	Female	15	0	C	3rd
877	Male	20	0	S	3rd
878	Male	19	0	S	3rd
879	Male	29	0	S	3rd
880	Female	56	0	C	1st
881	Female	25	0	S	2nd
882	Male	33	0	S	3rd
883	Female	22	0	S	3rd
884	Male	28	0	S	2nd
885	Male	25	0	S	3rd
886	Female	39	0	Q	3rd
887	Male	27	0	S	2nd
888	Female	19	0	S	1st
889	Female	29	1	S	3rd
890	Male	26	0	C	1st
891	Male	32	0	Q	3rd
